district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
ADILABAD,0.06256829495325590,0.36196467457053000,36.76414372350340,0.44663494221617900,0.8150917743031950,0.8443235893949690,41.0,64.8,58.6,95.7,50.8,99.2,63.6,21.4,7.8,54.3
AGAR MALWA,0.1534886423052340,0.39397752055024300,37.80057824606770,0.6761658031088080,0.9291882556131260,0.7426597582038000,19.3,59.4,56.3,81.4,72.3,99.5,58.9,35.6,5.3,78.2
AGRA,0.14320811082019400,0.23426134071128000,28.78892402828080,0.9343079551927090,0.8279855705335110,0.9198784887032470,36.1,65.0,69.4,99.8,70.8,99.1,9.4,17.9,3.5,67.7
AHMADNAGAR,-0.0009841827768013460,0.22559752154612300,26.103683918015100,0.8771763815291450,0.8777441332324000,0.8788796366389100,45.7,86.2,77.4,90.0,79.5,94.5,12.0,26.9,10.8,69.5
AIZAWL,0.03840254837187350,0.19096145325653500,31.991118206621400,0.9186440677966100,0.43050847457627100,0.9740112994350280,60.7,98.9,97.8,98.3,96.1,99.7,37.5,3.2,2.0,21.6
AJMER,-0.04062875794537010,0.15650611071171800,24.26434309968240,0.8775510204081630,0.7658730158730160,0.9807256235827670,40.2,70.2,67.3,98.1,77.5,99.9,88.7,20.2,5.5,60.6
AKOLA,0.002612488125053990,0.1981886925173660,37.686206155808200,0.7761437908496730,0.8442265795206970,0.954248366013072,52.7,87.5,86.3,95.1,69.5,97.6,40.1,13.5,5.7,77.0
ALAPPUZHA,0.01650346108391020,0.10493517943374700,32.89195832433130,0.9435736677115990,0.96760710553814,0.9989550679205850,78.8,99.7,97.8,98.4,99.2,99.9,60.4,3.8,2.9,61.5
ALIGARH,0.18352068969680900,0.24374721961346400,36.922746230290800,0.9544235924932980,0.6400804289544240,0.8138963360142980,37.5,68.7,68.0,100.0,69.4,95.3,17.6,15.8,4.5,68.2
ALIRAJPUR,0.20598641381262400,0.2575710271620360,43.19522854822080,0.6498211091234350,0.9991055456171740,0.7177996422182470,17.3,42.1,45.4,89.6,84.7,98.5,42.5,30.7,5.9,75.9
ALMORA,-0.0765623798908448,0.04695364735932680,17.298304618252600,0.6896728016359920,0.9596114519427400,0.9028629856850720,48.0,88.0,72.3,93.3,89.2,99.9,66.0,1.5,1.7,78.6
ALWAR,0.03624095996121370,0.16032396334099000,25.774592860768300,0.8269930532583530,0.7773734700628520,0.9374793251736690,35.1,65.6,64.0,97.6,66.0,97.8,80.8,32.2,8.0,54.6
AMBALA,-0.056862286649520800,0.10511920499612500,24.768663299388900,0.9333333333333330,0.9638888888888890,0.9916666666666670,55.3,88.9,82.2,99.3,87.2,99.6,19.0,6.4,0.8,69.5
AMBEDKAR NAGAR,0.19013021655961500,0.2430729260236870,42.07141844928870,0.9387644995953600,0.7439978419206910,0.8540598867008360,53.0,78.5,71.6,100.0,63.6,94.2,23.0,5.5,0.0,48.9
AMRAVATI,0.005268481834274640,0.25916047410534700,41.49318197388660,0.8326345213137670,0.9248777078965760,0.9329140461215930,55.0,87.8,86.2,95.8,75.7,99.1,31.9,9.8,3.6,79.2
AMRELI,0.14651730257320300,0.31710375091422000,35.08425594879960,0.792063492063492,0.9817460317460320,0.9984126984126980,27.2,77.2,69.9,97.8,73.3,99.6,47.7,10.5,1.6,62.2
AMRITSAR,0.06736700336700340,0.09966053833213170,47.766118093986100,0.9028436018957350,0.7625592417061610,0.999526066350711,56.7,81.7,78.0,99.6,86.0,99.9,26.2,9.2,4.4,68.9
ANAND,0.0789081357376118,0.3212530557725750,41.120507989405900,0.8225214198286410,0.9694002447980420,1.0,32.2,75.9,75.2,99.7,82.1,98.0,36.2,28.0,7.0,53.7
ANANTAPUR,0.06454890933641430,0.30226115298431500,50.7929112267114,0.8101870274572230,0.9976124154397140,1.0,31.3,63.6,59.5,98.8,71.3,99.6,73.2,37.3,13.6,67.6
ANANTNAG,0.08543497166161870,0.12032365852060500,43.23011507098880,0.8285528031290740,0.8239895697522820,0.9465449804432860,52.8,74.7,65.5,99.3,84.7,98.7,7.3,2.5,0.7,58.3
ANJAW,0.17407407407407400,0.446875,19.97807183683900,0.7972972972972970,0.527027027027027,0.581081081081081,28.8,67.9,61.5,86.6,86.8,96.4,17.5,21.8,5.1,64.7
ANUPPUR,0.04691201109249520,0.26673570530364700,34.27931520924740,0.7265787647467040,0.9791811242192920,0.5301873698820260,28.6,75.0,65.0,79.8,69.4,97.0,52.8,18.6,4.8,65.5
ARARIA,0.5367208599105930,0.43185675198282100,109.14420732197200,0.9573353293413170,0.24176646706586800,0.7660928143712580,16.8,43.7,53.0,100.0,32.2,96.2,19.5,52.0,13.3,46.0
