district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
ADILABAD,0.0625682949532558,0.3619646745705298,36.76414372350339,0.4466349422161794,0.8150917743031951,0.8443235893949694,41.0,64.8,58.6,95.7,50.8,99.2,63.6,21.4 ,7.8 ,54.3
AGAR MALWA,0.1534886423052344,0.3939775205502432,37.80057824606771,0.6761658031088082,0.929188255613126,0.7426597582037997,19.3,59.4,56.3,81.4,72.3,99.5,58.9,35.6 ,5.3 ,78.2
AGRA,0.143208110820194,0.2342613407112802,28.78892402828077,0.9343079551927094,0.8279855705335105,0.9198784887032466,36.1,65.0,69.4,99.8,70.8,99.1,9.4,17.9 ,3.5 ,67.7
AHMADNAGAR,-0.0009841827768013,0.2255975215461227,26.103683918015065,0.8771763815291446,0.8777441332323997,0.8788796366389099,45.7,86.2,77.4,90.0,79.5,94.5,12.0,26.9 ,10.8 ,69.5
AIZAWL,0.0384025483718735,0.1909614532565352,31.991118206621447,0.91864406779661,0.4305084745762711,0.9740112994350284,60.7,98.9,97.8,98.3,96.1,99.7,37.5,3.2 ,2.0 ,21.6
AJMER,-0.0406287579453701,0.1565061107117181,24.26434309968241,0.8775510204081632,0.7658730158730159,0.9807256235827664,40.2,70.2,67.3,98.1,77.5,99.9,88.7,20.2 ,5.5 ,60.6
AKOLA,0.0026124881250539,0.1981886925173657,37.686206155808215,0.7761437908496732,0.8442265795206971,0.954248366013072,52.7,87.5,86.3,95.1,69.5,97.6,40.1,13.5 ,5.7 ,77.0
ALAPPUZHA,0.0165034610839102,0.1049351794337467,32.89195832433131,0.9435736677115988,0.96760710553814,0.9989550679205852,78.8,99.7,97.8,98.4,99.2,99.9,60.4,3.8 ,2.9 ,61.5
ALIGARH,0.1835206896968086,0.2437472196134644,36.922746230290784,0.9544235924932976,0.6400804289544236,0.8138963360142984,37.5,68.7,68.0,100.0,69.4,95.3,17.6,15.8 ,4.5 ,68.2
ALIRAJPUR,0.2059864138126238,0.2575710271620356,43.19522854822078,0.6498211091234347,0.9991055456171736,0.7177996422182469,17.3,42.1,45.4,89.6,84.7,98.5,42.5,30.7 ,5.9 ,75.9
ALMORA,-0.0765623798908448,0.0469536473593268,17.298304618252555,0.6896728016359919,0.9596114519427404,0.9028629856850716,48.0,88.0,72.3,93.3,89.2,99.9,66.0,1.5 ,1.7 ,78.6
ALWAR,0.0362409599612136,0.1603239633409904,25.774592860768287,0.8269930532583526,0.7773734700628515,0.9374793251736684,35.1,65.6,64.0,97.6,66.0,97.8,80.8,32.2 ,8.0 ,54.6
AMBALA,-0.0568622866495207,0.1051192049961252,24.768663299388876,0.9333333333333332,0.9638888888888888,0.9916666666666668,55.3,88.9,82.2,99.3,87.2,99.6,19.0,6.4 ,0.8 ,69.5
AMBEDKAR NAGAR,0.1901302165596153,0.2430729260236868,42.07141844928865,0.93876449959536,0.7439978419206906,0.8540598867008362,53.0,78.5,71.6,100.0,63.6,94.2,23.0,5.5 ,0.0 ,48.9
AMRAVATI,0.0052684818342746,0.2591604741053472,41.49318197388662,0.8326345213137666,0.924877707896576,0.9329140461215932,55.0,87.8,86.2,95.8,75.7,99.1,31.9,9.8 ,3.6 ,79.2
