state,district,rural_urban,c1_dropout_rate_b,c1_retention_rate_b,c1_dropout_rate_g,c1_retention_rate_g,c2_dropout_rate_b,c2_retention_rate_b,c2_dropout_rate_g,c2_retention_rate_g,c3_dropout_rate_b,c3_retention_rate_b,c3_dropout_rate_g,c3_retention_rate_g,c4_dropout_rate_b,c4_retention_rate_b,c4_dropout_rate_g,c4_retention_rate_g,c5_dropout_rate_b,c5_retention_rate_b,c5_dropout_rate_g,c5_retention_rate_g,c6_dropout_rate_b,c6_retention_rate_b,c6_dropout_rate_g,c6_retention_rate_g,c7_dropout_rate_b,c7_retention_rate_b,c7_dropout_rate_g,c7_retention_rate_g,c8_dropout_rate_b,c8_retention_rate_b,c8_dropout_rate_g,c8_retention_rate_g,c9_dropout_rate_b,c9_retention_rate_b,c9_dropout_rate_g,c9_retention_rate_g,c10_dropout_rate_b,c10_retention_rate_b,c10_dropout_rate_g,c10_retention_rate_g,c11_dropout_rate_b,c11_retention_rate_b,c11_dropout_rate_g,c11_retention_rate_g,c12_dropout_rate_b,c12_retention_rate_b,c12_dropout_rate_g,c12_retention_rate_g
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,Rural,0.5168481078278901,0.48315189217210985,0.5368782161234992,0.4631217838765008,0.0,1.0,0.0,1.0,0.00591016548463357,0.9940898345153665,0.0199203187250996,0.9800796812749004,0.002583979328165375,0.9974160206718347,0.004297994269340974,0.995702005730659,0.011034482758620689,0.9889655172413793,0.017789072426937738,0.9822109275730623,0.0010080645161290322,0.998991935483871,0.023622047244094488,0.9763779527559056,0.014722536806342015,0.9852774631936579,0.011695906432748537,0.9883040935672515,0.03184713375796178,0.9681528662420382,0.0,1.0,0.011976047904191617,0.9880239520958084,0.009237875288683603,0.9907621247113164,0.09467455621301775,0.9053254437869822,0.055327868852459015,0.944672131147541,0.06666666666666667,0.9333333333333333,0.06292134831460675,0.9370786516853933,0.17197452229299362,0.8280254777070064,0.058888888888888886,0.9411111111111111
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,Urban,0.340129749768304,0.659870250231696,0.390371782650143,0.6096282173498571,0.02047244094488189,0.9795275590551181,0.012135922330097087,0.9878640776699029,0.025482093663911846,0.9745179063360881,0.0023094688221709007,0.9976905311778291,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03415559772296015,0.9658444022770398,0.0,1.0,0.0,1.0,0.0,1.0,0.14285714285714285,0.8571428571428572,0.06837606837606838,0.9316239316239316,0.0,1.0,0.0,1.0,0.16826923076923078,0.8317307692307692,0.0593607305936073,0.9406392694063928
ANDAMAN & NICOBAR ISLANDS,MIDDLE AND NORTH ANDAMANS,Rural,0.5259128386336867,0.47408716136631335,0.5339805825242718,0.46601941747572817,0.0,1.0,0.0,1.0,0.008111239860950173,0.9918887601390498,0.009615384615384616,0.9903846153846154,0.00784313725490196,0.9921568627450981,0.0013333333333333333,0.9986666666666667,0.013100436681222707,0.9868995633187773,0.05785123966942149,0.9421487603305785,0.02446183953033268,0.9755381604696673,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0020242914979757085,0.9979757085020243,0.0,1.0,0.051258992805755396,0.9487410071942446,0.1270764119601329,0.8729235880398671,0.06811731315042574,0.9318826868495742,0.0,1.0,0.0018148820326678765,0.9981851179673321,0.15608465608465608,0.843915343915344,0.08842297174111212,0.9115770282588879
ANDAMAN & NICOBAR ISLANDS,NICOBARS,Rural,0.16049382716049382,0.8395061728395061,0.19865319865319866,0.8013468013468014,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03639240506329114,0.9636075949367089,0.039603960396039604,0.9603960396039604,0.030844155844155844,0.9691558441558441,0.006968641114982578,0.9930313588850174,0.0,1.0,0.012658227848101266,0.9873417721518988,0.008156606851549755,0.9918433931484503,0.0,1.0,0.1361344537815126,0.8638655462184874,0.12935323383084577,0.8706467661691543,0.1797153024911032,0.8202846975088968,0.10852713178294573,0.8914728682170543,0.14092664092664092,0.859073359073359,0.06985294117647059,0.9301470588235294
ANDHRA PRADESH,ANAKAPALLI,Rural,0.06286096419235211,0.9371390358076479,0.0,1.0,0.08533140642448926,0.9146685935755108,0.08222028324048594,0.9177797167595141,0.039765319426336376,0.9602346805736637,0.03191074354373098,0.968089256456269,0.03717566453086341,0.9628243354691366,0.02534385254485792,0.9746561474551421,0.07020249763669835,0.9297975023633016,0.05169133192389006,0.9483086680761099,0.08475985522840654,0.9152401447715934,0.06534763127422846,0.9346523687257715,0.0699046515303166,0.9300953484696834,0.05965513548248902,0.940344864517511,0.0998420864958484,0.9001579135041516,0.06062808201401505,0.939371917985985,0.10956891748138392,0.8904310825186161,0.05788838943098344,0.9421116105690166,0.11023421588594705,0.8897657841140529,0.07284944802943844,0.9271505519705616,0.5933881779402803,0.4066118220597197,0.3727301858577227,0.6272698141422772,0.10669665167416292,0.893303348325837,0.0683187643214801,0.9316812356785199
ANDHRA PRADESH,ANAKAPALLI,Urban,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3149171270718232,0.6850828729281768,0.0,1.0
ANDHRA PRADESH,ANANTAPUR,Rural,0.0,1.0,0.0,1.0,0.0637582464354118,0.9362417535645882,0.03901713967207023,0.9609828603279298,0.03125968563205667,0.9687403143679433,0.0034503450345034505,0.9965496549654965,0.01748000359485935,0.9825199964051406,0.0034340317523515653,0.9965659682476484,0.05478706023309008,0.9452129397669099,0.035304998190518314,0.9646950018094816,0.08557284299858557,0.9144271570014144,0.10701325631341184,0.8929867436865881,0.009071654078248012,0.9909283459217519,0.023520519318838647,0.9764794806811613,0.06145575495049505,0.938544245049505,0.05003609456776755,0.9499639054322324,0.10794146662282145,0.8920585333771786,0.08193971683686053,0.9180602831631395,0.10343607659311016,0.8965639234068898,0.08767109083367897,0.912328909166321,0.6178233755783544,0.38217662442164557,0.5502390034281299,0.4497609965718701,0.0,1.0,0.0,1.0
ANDHRA PRADESH,ANANTAPUR,Urban,0.0,1.0,0.0,1.0,0.03794517244151459,0.9620548275584854,0.01982189026141913,0.9801781097385809,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.06443364868320123,0.9355663513167988,0.0,1.0,0.05807455612930608,0.9419254438706939,0.0,1.0,0.08730515587529976,0.9126948441247003,0.05061883939820648,0.9493811606017936,0.0,1.0,0.0,1.0,0.043088470359302244,0.9569115296406978,0.0006170300287947347,0.9993829699712052
ANDHRA PRADESH,ANNAMAYYA,Rural,0.0,1.0,0.0,1.0,0.059284717001396196,0.9407152829986039,0.057737515050742504,0.9422624849492575,0.014410428127242287,0.9855895718727578,0.0,1.0,0.016528439503558614,0.9834715604964414,0.0,1.0,0.0,1.0,0.0,1.0,0.09350501467174703,0.906494985328253,0.058515324338109145,0.9414846756618909,0.020823856456911802,0.9791761435430882,0.023259349346305868,0.9767406506536941,0.07675416708254316,0.9232458329174569,0.041834938386662524,0.9581650616133375,0.07391701111170755,0.9260829888882924,0.060778002073217305,0.9392219979267827,0.10001059995760017,0.8999894000423998,0.09028082492321193,0.9097191750767881,0.6122905583453487,0.38770944165465127,0.5172085142433549,0.4827914857566451,0.01533323212388037,0.9846667678761196,0.018849082511546624,0.9811509174884534
ANDHRA PRADESH,ANNAMAYYA,Urban,0.0,1.0,0.0,1.0,0.0589000976244712,0.9410999023755288,0.03937881308929562,0.9606211869107044,0.04143318050602819,0.9585668194939718,0.013489736070381233,0.9865102639296187,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02138908916125931,0.9786109108387406,0.0,1.0,0.051764984600805496,0.9482350153991945,0.0,1.0,0.051418439716312055,0.9485815602836879,0.0,1.0,0.1284074605451937,0.8715925394548063,0.08464906461456813,0.9153509353854319,0.06359701851406588,0.9364029814859341,0.033014236622484046,0.966985763377516,0.03712328767123288,0.9628767123287671,0.0034592500345925004,0.9965407499654075
